Name                           E051-05e
Number_of_Customers            50
Number_of_Items                99
Number_of_ItemTypes            99
Number_of_Vehicles             7
TimeWindows                    0

VEHICLE
Mass_Capacity                  160
CargoSpace_Length              60
CargoSpace_Width               25
CargoSpace_Height              30
Wheelbase                      -1
Max_Mass_FrontAxle             -1
Max_Mass_RearAxle              -1
Distance_FrontAxle_CargoSpace  -1

CUSTOMERS
i               x               y               Demand          ReadyTime       DueDate         ServiceTime     DemandedMass    DemandedVolume
0               30              40              0               0               1000000         0               0               0
1               37              52              3               0               1000000         0               7               10433
2               49              49              1               0               1000000         0               30              2800
3               52              64              3               0               1000000         0               16              9153
4               20              26              1               0               1000000         0               9               1980
5               40              30              2               0               1000000         0               21              5028
6               21              47              2               0               1000000         0               15              5280
7               17              63              3               0               1000000         0               19              13914
8               31              62              3               0               1000000         0               23              4707
9               52              33              2               0               1000000         0               11              3120
10              51              21              3               0               1000000         0               5               5858
11              42              41              2               0               1000000         0               19              8558
12              31              32              2               0               1000000         0               29              10682
13              5               25              1               0               1000000         0               23              2366
14              12              42              1               0               1000000         0               21              2145
15              36              16              2               0               1000000         0               10              3136
16              52              41              2               0               1000000         0               15              2880
17              27              23              1               0               1000000         0               3               2079
18              17              33              2               0               1000000         0               41              10167
19              13              13              3               0               1000000         0               9               10416
20              57              58              3               0               1000000         0               28              9160
21              62              42              2               0               1000000         0               8               5526
22              42              57              2               0               1000000         0               8               4940
23              16              57              2               0               1000000         0               16              7016
24              8               52              3               0               1000000         0               10              4826
25              7               38              1               0               1000000         0               28              1053
26              27              68              1               0               1000000         0               7               2604
27              30              48              1               0               1000000         0               15              6426
28              43              67              3               0               1000000         0               14              7296
29              58              48              2               0               1000000         0               6               8232
30              58              27              3               0               1000000         0               19              7622
31              37              69              1               0               1000000         0               11              3564
32              38              46              2               0               1000000         0               12              6328
33              46              10              1               0               1000000         0               23              2160
34              61              33              3               0               1000000         0               26              8124
35              62              63              1               0               1000000         0               17              2744
36              63              69              1               0               1000000         0               6               2436
37              32              22              3               0               1000000         0               9               12352
38              45              35              1               0               1000000         0               15              1920
39              59              15              1               0               1000000         0               14              2720
40              5               6               2               0               1000000         0               7               5540
41              10              17              2               0               1000000         0               27              6651
42              21              10              2               0               1000000         0               13              4287
43              5               64              2               0               1000000         0               11              2248
44              30              15              2               0               1000000         0               16              5016
45              39              10              3               0               1000000         0               10              7038
46              32              39              1               0               1000000         0               5               2288
47              25              32              2               0               1000000         0               25              5400
48              25              55              1               0               1000000         0               17              1104
49              48              28              3               0               1000000         0               18              5418
50              56              37              3               0               1000000         0               10              7736

ITEMS
Type            Length          Width           Height          Mass            Fragility       LoadingBearingStrength
Bt1             31              9               17              2.33333         0               0
Bt2             29              10              16              2.33333         0               0
Bt3             15              7               10              2.33333         0               0
Bt4             20              14              10              30              0               0
Bt5             22              11              17              5.33333         0               0
Bt6             28              14              7               5.33333         0               0
Bt7             27              5               17              5.33333         1               0
Bt8             12              15              11              9               0               0
Bt9             35              6               17              10.5            0               0
Bt10            27              6               9               10.5            1               0
Bt11            30              12              10              7.5             0               0
Bt12            30              7               8               7.5             1               0
Bt13            33              13              14              6.33333         0               0
Bt14            27              12              13              6.33333         0               0
Bt15            24              11              14              6.33333         1               0
Bt16            15              5               17              7.66667         0               0
Bt17            13              11              8               7.66667         0               0
Bt18            16              11              13              7.66667         1               0
Bt19            24              5               11              5.5             0               0
Bt20            20              15              6               5.5             1               0
Bt21            17              8               17              1.66667         0               0
Bt22            19              6               9               1.66667         0               0
Bt23            14              15              12              1.66667         1               0
Bt24            32              14              11              9.5             0               0
Bt25            33              11              10              9.5             0               0
Bt26            35              14              15              14.5            0               0
Bt27            34              7               14              14.5            1               0
Bt28            26              7               13              23              1               0
Bt29            13              15              11              21              1               0
Bt30            32              6               10              5               0               0
Bt31            19              8               8               5               0               0
Bt32            22              8               10              7.5             1               0
Bt33            28              5               8               7.5             1               0
Bt34            27              7               11              3               0               0
Bt35            30              13              16              20.5            0               0
Bt36            33              7               17              20.5            0               0
Bt37            20              13              15              3               0               0
Bt38            34              11              9               3               0               0
Bt39            30              7               15              3               0               0
Bt40            30              13              12              9.33333         0               0
Bt41            22              13              10              9.33333         1               0
Bt42            15              12              9               9.33333         1               0
Bt43            18              14              8               4               0               0
Bt44            27              10              13              4               1               0
Bt45            18              14              13              4               0               0
Bt46            13              8               16              4               0               0
Bt47            20              13              16              8               0               0
Bt48            34              12              7               8               0               0
Bt49            23              10              10              3.33333         0               0
Bt50            28              8               9               3.33333         0               0
Bt51            17              5               6               3.33333         1               0
Bt52            13              9               9               28              0               0
Bt53            31              7               12              7               1               0
Bt54            27              14              17              15              0               0
Bt55            18              13              12              4.66667         0               0
Bt56            33              6               14              4.66667         0               0
Bt57            22              6               13              4.66667         0               0
Bt58            28              14              16              3               0               0
Bt59            35              7               8               3               0               0
Bt60            30              8               17              6.33333         0               0
Bt61            23              13              7               6.33333         0               0
Bt62            23              7               9               6.33333         0               0
Bt63            33              9               12              11              0               0
Bt64            27              11              14              6               0               0
Bt65            31              10              7               6               0               0
Bt66            15              12              12              23              0               0
Bt67            22              10              13              8.66667         0               0
Bt68            28              5               7               8.66667         0               0
Bt69            34              9               14              8.66667         1               0
Bt70            28              14              7               17              1               0
Bt71            29              12              7               6               0               0
Bt72            30              11              16              3               0               0
